Time/Day,Monday,,,Tuesday,,Wednesday,,Thursday,Friday,,Saturday
07:00-08:00,,,,,,,,,,,
08:00 - 09:00,ML (VKU),DBMS (RCH),,MAE (VAR),SIP [KRA],of [SGO],,SIP (AMUL,SIP [KRA],,(SGO)
09:00-10:00,BI CL 601,B2 CL 602,,MAE (VAR),B1 CL 601,B2 CU 602,(VKU),ML,B2 CL 601,,SM (SSH)
10:00-11:00,OT (SGO),,IT TUT (SGO) B2 CL 601,DBMS (RCH) BI,,BREAK,ML (VKU) B2,OT [SGO] B),SIP [AMU],IT TUT (SGO) BI CR 308,SM [SSH] B2
11:00 12:00,SM (SSH),,,CL 602,,DBMS (RCI),CL 601,CL 602,IT [SGO],,CL 602
12.00-1:00,BREAK,,BREAK,,,SIP [AMU],,,SM (SSH) BI,,
01:00 02:00,ML [VKU],,IT (SGO),,,,,,CL 804,,
02:00 03:00,DBMS [RCH],,ML [VKU],,,,,,,,
03:00 - 04:00,,,,,,,,,,,
